,Address,Beds,Phone,Price,Title
432,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
433,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
434,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
435,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
436,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
437,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
438,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
439,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
440,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
441,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
442,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
443,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
444,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
445,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
446,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
447,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
448,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
449,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
450,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
451,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
452,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
453,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
454,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
455,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
456,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
457,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
458,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
459,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
460,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
461,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
462,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
463,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
464,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
465,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
466,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
467,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
468,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
469,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
470,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
471,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
472,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
473,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
474,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
475,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
476,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
477,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
478,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
479,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
480,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
481,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
482,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
483,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
484,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
485,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
486,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
487,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
488,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
489,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
490,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
491,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
492,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
493,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
494,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
495,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
496,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
497,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
498,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
499,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
500,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
501,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
502,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
503,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
504,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
505,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
506,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
507,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
508,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
509,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
510,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
511,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
512,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
513,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
514,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
515,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
516,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
517,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
518,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
519,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
520,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
521,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
522,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
523,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
524,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
525,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
526,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
527,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
528,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
529,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
530,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
531,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
532,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
533,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
534,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
535,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
536,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
537,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
538,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
539,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
540,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
541,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
542,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
543,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
544,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
545,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
546,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
547,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
548,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
549,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
550,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
551,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
552,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
553,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
554,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
555,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
556,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
557,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
558,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
559,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
560,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
561,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
562,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
563,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
564,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
565,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
566,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
567,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
568,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
569,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
570,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
571,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
572,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
573,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
574,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
575,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
576,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
577,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
578,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
579,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
580,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
581,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
582,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
583,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
584,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
585,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
586,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
587,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
588,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
589,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
590,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
591,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
592,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
593,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
594,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
595,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
596,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
597,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
598,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
599,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
600,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
601,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
602,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
603,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
604,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
605,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
606,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
607,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
608,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
609,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
610,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
611,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
612,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
613,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
614,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
615,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
616,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
617,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
618,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
619,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
620,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
621,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
622,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
623,"500 E 33rd St, Chicago, IL 60616",Studio - 3 Bed,844-687-6555,"$775 - 4,465","
Lake Meadows"
624,"360 E South Water St, Chicago, IL 60601",Studio - 2 Bed,312-288-8069,"$1,740 - 5,949","
The Tides at Lakeshore East"
625,"860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed,844-772-4370,"$1,490 - 2,635","
Gold Coast City Club Apartments"
626,"2300 S Michigan Ave, Chicago, IL 60616",1-2 Bed,312-646-4878,"$1,595 - 2,950","
The Shelby"
627,"420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,888-380-0393,"$1,690 - 4,425","
420 E Ohio"
628,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,866-359-3415,"$2,375 - 3,950","
Astor House"
629,"71 W Hubbard St, Chicago, IL 60654",Studio - 3 Bed,844-360-4529,"$1,858 - 7,116","
AMLI River North"
630,"1350 N Lake Shore Dr, Chicago, IL 60610",Studio - 2 Bed,844-740-9960,"$1,357 - 9,205","
1350"
631,"811 W Agatite Ave, Chicago, IL 60640",Studio - 3 Bed,630-282-6243,"$1,560 - 6,300","
Eight Eleven Uptown"
632,"833 W Buena Ave, Chicago, IL 60613",1-3 Bed,844-812-0763,"$1,290 - 1,925","
Buena Shores"
633,"1001 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,844-581-2011,"$1,859 - 3,454","
Spoke"
634,"1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed,855-707-4966,"$1,950 - 3,600","
One East Delaware"
635,"161 W Kinzie St, Chicago, IL 60654",Studio - 2 Bed,844-892-1659,"$1,750 - 4,195","
EnV Chicago"
636,"8 W Chestnut St, Chicago, IL 60610",1-2 Bed,312-646-4941,"$1,864 - 2,959","
Chestnut Place"
637,"910 W Huron St, Chicago, IL 60642",Studio - 4 Bed,844-741-2982,"$2,030 - 4,945","
Mondial River West"
638,"400 N McClurg Ct, Chicago, IL 60611",Studio - 2 Bed,844-482-6861,"$1,856 - 4,017","
Cityfront Place"
639,"1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,844-257-2074,"$1,825 - 7,866","
1333 S Wabash"
640,"4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,844-617-1509,"$2,995 - 3,348","
The Aberdeen West Loop"
641,"401-411 W Fullerton Pky, Chicago, IL 60614",Studio - 3 Bed,844-812-0758,"$1,400 - 2,630","
The Patricians"
642,"345 E Wacker Dr, Chicago, IL 60601",Studio - 3 Bed,773-904-9571,"$1,668 - 4,888","
Coast at Lakeshore East"
643,"850 S Clark St, Chicago, IL 60605",Studio - 2 Bed,312-462-1938,"$1,723 - 4,204","
AMLI Lofts"
644,"1209 W Arthur Ave, Chicago, IL 60626",Studio - 2 Bed,773-649-4071,"$1,646 - 1,923","
The Morgan at Loyola Station"
645,"400 E South Water St, Chicago, IL 60601",Studio - 2 Bed,866-599-7868,"$1,758 - 4,208","
The Shoreham at Lakeshore East"
646,"555 W Madison St, Chicago, IL 60661",Studio - 2 Bed,888-692-0211,"$1,360 - 3,950","
Presidential Towers"
647,"4050-4064 W 115th St, Chicago, IL 60655",Studio - 2 Bed,331-481-7724,"$804 - 1,619","
Midpointe Apartments"
